,text,neutral,positive,negative,narrator,y,text_french
256,"τούτα για σας τους δυο να μάθαιναν, πώς αρπαχτήκατε έτσι,",0.125,0.25,0.5,0.125,"[0.125, 0.25, 0.5, 0.125]","Ça, c'est pour vous deux d'apprendre comment vous vous êtes attrapés comme ça."
257,"οι πρώτοι Αργίτες, και στη φρόνεψη και στο κοντάρι οι πρώτοι.",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","Les premiers Argytes, les premiers à s'occuper et au bâton."
258,Μα τώρα ακουστέ μου! Τα χρόνια μου κανένας σας δεν τα 'χει.,0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","Maintenant, écoutez-moi. Mes années, aucun d'entre vous ne les a."
259,Εγώ είχα σμίξει με άντρες κάποτε πολύ τρανότερούς σας,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]",J'ai eu affaire à des hommes bien plus grands que vous.
260,"—χρόνια παλιά—κι αυτοί τα λόγια μου δεν τ᾿ αψηφούσαν, όχι.",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Il y a des années, et ces mots ne l'ont pas défié, non."
261,"Άντρες παρόμοιους δεν αντάμωσα κι ουδέ και θ᾿ ανταμώσω,",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Je n'ai jamais rencontré d'hommes de ce genre, et je ne le ferai pas."
262,"σαν τον Πειρίθο ή τον Πολύφημο, που ίδια θεός λογιόταν,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]","C'est comme Piirithe ou Polyphème, un dieu qui était considéré comme un dieu."
263,"σαν τον Εξάδιο, σαν το Δρύαντα, σαν τον Καινέα το ρήγα,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]","Comme Exadius, comme le Dryant, comme le Nouveau Roi,"
264,"σαν το Θησέα, στην όψη που 'μοιαζε θεός, το γιο του Αιγέα.",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]","Comme Thésée, sur le visage de Dieu, le fils d'Aegeus."
265,"Πολλά αντρειωμένοι εκείνοι εστάθηκαν στης γης τους άντρες μέσα,",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Beaucoup d'hommes sont restés sur la terre,"
266,"πολλά αντρειωμένοι, και πολέμησαν και με πολλά αντρειωμένους'",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Beaucoup d'hommes, et ils se sont battus avec beaucoup d'hommes."
267,με του βουνού τους δράκους τα 'βαλαν και τους χάλασαν όλους.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Avec la montagne, les dragons se sont battus et ont détruit tout le monde."
268,"Μ᾿ αυτούς εγώ συναπαντήθηκα, φτασμένος απ᾿ την Πύλο,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]","J'ai rencontré ces gars-là, avec Pyle,"
269,"πέρα, από τόπο αλαργοτάξιδο᾿ τι ατοί τους με κάλεσαν,",0.75,0.25,0.0,0.0,"[0.75, 0.25, 0.0, 0.0]","Au-delà de ce qu'ils m'ont demandé de faire,"
270,"και χώρια, για δικού μου, αμάχουμουν. Απ᾿ όσους θρέφει τώρα",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]",Et je me suis battue pour moi. De ceux qu'il nourrit maintenant
271,"η γη, κανείς δε θα 'χε ανάκαρα να χτυπηθεί μαζί τους.",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","La terre, personne n'aurait pu s'en prendre à eux."
272,Κι ωστόσο παίρναν και τη γνώμη μου και μου άκουγαν το λόγο.,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Et pourtant, ils prenaient mon avis et m'écoutaient."
273,"Λοιπόν κι εσείς, ελάτε, ακούστε μου, χαρά σ᾿ αυτόν που ακούει.",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Vous aussi, allez, écoutez-moi, heureux celui qui écoute."
274,"και μήτε εσύ, κι ας έχεις δύναμη, την κόρη να του πάρεις,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Et pas toi, même si tu as le pouvoir de prendre sa fille,"
275,"μόν᾿ άφησέ τη, ως του την έδωκαν αποξαρχής οι Αργίτες᾿",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]",Lâche-la jusqu'à ce que les Argytes l'aient abandonnée.
276,"μήτε κι εσύ, Αχιλλέα, να ρίχνεσαι του βασιλιά μας τώρα",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Et toi, Achille, tu ne devrais pas t'en prendre à notre roi."
277,σαν ίσια κι όμοιος· τι δεν έλαχε την ίδια με τους άλλους,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]",comme droite et semblable; ce qui n'est pas arrivé elle-même avec les autres
278,"τιμή ένας ρήγας πρωτοστάτορας, που ο Δίας τον μεγαλύνει.",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]",L'honneur d'un roi de premier plan que Zeus a élevé.
279,"Κι αν είσαι δυνατός, κι αν σ᾿ έκανε θεά μητέρα εσένα,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Et si tu es fort, et si tu as été une mère déesse,"
280,"στέκει απ᾿ την άλλη αυτός πιο πάνω σου, τι πιο πολλούς ορίζει.",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]","Il se tient de l'autre côté de toi, ce qu'il désigne le plus."
281,"Υγιέ του Ατρέα, κι εσύ την όργητα παράτα, του Αχιλλέα",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Fils d'Atrea, et vous laissez tomber Achille."
282,"μην του κρατάς θυμό, ξορκίζω σε᾿ τι στους Αργίτες όλους",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Ne lui en veux pas, je jure sur ce qu'ils ont tous en Argytes."
283,αυτός μας στέκει κάστρο ατράνταχτο μες στη σφαγή την άγρια.»,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]",C'est un château intrépide dans le massacre de la sauvagerie.
284,Κι ο πρωταφέντης Αγαμέμνονας γυρνώντας του αποκρίθη:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",Le premier maître Agamemnon lui répondit:
285,"« Τα όσα μου λες αλήθεια, γέροντα, πολύ σωστά και δίκια,",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]","Oh, c'est vrai, vieil homme, très juste et très juste."
286,"μ᾿ αυτός εδώ γυρεύει απ᾿ όλους μας να στέκεται πιο πάνω,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]",Ce gars nous cherche tous debout là-haut.
287,"όλους δικούς του να 'χει, σε όλους μας να κάνει το κουμάντο,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Qu'il ait tous ses gars, qu'il nous dirige tous."
288,όλους να ορίζει᾿ μα τα λόγια του θα πάν θαρρώ του ανέμου.,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Tout le monde doit choisir, mais ce qu'il dit, c'est que j'admire le vent."
289,"Κι αν οι θεοί μαθές οι αθάνατοι τον κάμαν αντρειωμένο,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Et si les dieux apprennent les immortels,"
290,του δώκαν τάχα και το λεύτερο να βγαίνει να μας βρίζει;»,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]",On lui a donné le droit de sortir et de nous insulter?
291,Το λόγο του 'κόψε ο τρισεύγενος τότε Αχιλλέας και του 'πε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Sa parole fut interrompue par le brigadier, Achille, et il lui dit:"
292,"« Αλήθεια, να με πούνε θ᾿ αξιζε κιοτή και τιποτένιο,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Si on m'appelait vraiment comme ça, ça valait le coup d'essayer."
293,"σε ό,τι κι αν έλεγες αν σύγκλινα, να κάνω ό,τι προστάζεις.",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","Quoi que tu dises, je ferais tout ce que tu veux."
294,"Άλλους, αν θέλεις, βρες κι αφέντευε, σε μένα πια μην κάνεις",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","D'autres, si vous voulez, trouvez-en d'autres, et ne me parlez plus."
295,κουμάντο τώρα᾿ τι τα λόγια σου θα παν θαρρώ του ανέμου.,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]",C'est toi qui décides de ce que tu vas dire.
296,"Κάποιο άλλο λόγο τώρα θά 'λεγα, και συ στο νου σου βάλ᾿ τον:",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]","J'allais te dire une autre raison, et tu penses à lui:"
297,Στα χέρια αλήθεια εγώ δεν έρχομαι με σένα για και μ᾿ άλλον,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]",Je ne viens pas avec toi pour un autre.
298,γι᾿ αυτή την κόρη που μού δώσατε και τώρα παίρνετέ μου',0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","Pour cette fille que vous m'avez donnée, et maintenant vous m'appelez."
299,όμως απ᾿ τ᾿ άλλα που μου βρίσκουνται μες στο γοργό καράβι,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]",Mais d'autres choses que j'ai trouvées dans le bateau.
300,δεν έχεις να μου πάρεις τίποτα χωρίς το θέλημα μου.,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]",Tu n'as rien à m'offrir sans ma volonté.
301,"Είδε κι αν θες, ομπρός, δοκίμασε, για να το δουν και τούτοι'",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Voyez si vous voulez, vas-y, essayez, pour qu'ils le voient aussi."
302,ευτύς θ᾿ αναβρυσίσει το αίμα σου τρογύρα απ᾿ το κοντάρι!»,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]",Tu vas faire couler ton sang sur le bâton!
303,"Έτσι ως πιάστηκαν συναλλάζοντας λόγια βαριά κι οι δυο τους,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Alors, ils se sont fait prendre en échangeant des mots lourds, tous les deux."
304,σκωθηκαν και σκολνούν τη σύναξη στ᾿ Αργίτικα καράβια.,0.375,0.25,0.25,0.125,"[0.375, 0.25, 0.25, 0.125]",Ils se sont creusés et se sont emparés de l'assemblée sur les bateaux argentins.
305,Και τράβηξε ο Αχιλλέας για τ᾿ άρμενα τα καλοζυγιασμένα,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]",Et Achille tira pour les chars bien pesés.
306,"και τα καλύβια, με τον Πάτροκλο μαζί και τους συντρόφους.",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]","Et les cabanes, avec Patrocle et les camarades."
307,"Κι ο γιος του Ατρέα γοργό στη θάλασσα καράβι λέει και ρίχνουν,",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]",Et le fils d'Atrea s'enfuit en mer et dit:
308,"διαλέει και λαμνοκόπους είκοσι, πλήθια σφαχτά φορτώνει",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]","Il y a vingt lampadaires, il y a des tas de tueurs qui chargent."
309,για το θεό᾿ τη ροδομάγουλη μετά τη Χρυσοπούλα,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]","Pour Dieu, la poule aux roses après l'or."
310,καθίζει. Μπήκε κι ο πολύγνωμος να κυβερνά Οδυσσέας.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]",Il s'assied. Le grand homme est entré dans le pouvoir d'Ulysse.
311,Μπήκαν λοιπόν αυτοί κι αρμένιζαν στης θάλασσας τις στράτες!,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",Ils sont donc entrés dans la mer et ont servi les armées!
312,"κι ο γιος του Ατρέα το ασκέρι πρόσταξε να ξαγνιστεί, κι εκείνοι",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","Et le fils d'Atrea l'ordonna de se purifier, eux aussi."
313,"λούζονταν, κι όλα τ᾿ απονίμματα μες στο γιαλό τα ρίχναν,",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]","Ils se lavaient, et tous les restes dans le yalo les jetaient."
314,και στον Απόλλωνα αψεγάδιαστα ταυριά και γίδια έσφαζαν,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","Et à Apollon, des taureaux impeccables et des chèvres massacrés."
315,"πολλά, στης άκαρπης της θάλασσας μπροστά το γυρογιάλι'",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Beaucoup, dans la mer sans fruits, devant le girofle;"
316,κι η κνίσα ανέβαινε στρουφίζοντας με τον καπνό στα ουράνια.,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",Et la nicha montait en roulant avec la fumée dans le ciel.
317,Τούτοι έτσι εμόχτουν ο Αγαμέμνονας δεν παρατούσε ωστόσο,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",Agamemnon n'abandonnait pas.
318,την όχτρητα και τι φοβέρισε στον Αχιλλέα να κάνει',0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]",L'oppresseur et ce qu'Achille avait peur de faire.
319,"κι ευτύς τον Ευρυβάτη εφώναξε και τον Ταλθύβιο ομπρός του,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","Il appela aussi Taltyvius par son parapluie,"
320,τους δυο διαλάληδες και πρόθυμους παραστεκάμενούς του:,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]",les deux participants dialectes et volontaires:
321,«Για συρτέ στου Αχιλλέα και γρήγορα κρατώντας τη απ΄ το χέρι,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Chez Achille, et vite en la tenant par la main."
322,φέρτε μου εδώ τη ροδομάγουλη γυρνώντας Βρισοπούλα.,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]","Ramenez-moi la rose en rentrant, Brisdone."
323,"Κι αν δεν τη δώσει, εγώ με πιότερους Θα πάω και θα την πάρω",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","Et s'il ne la donne pas, je vais aller la chercher avec plus d'hommes."
324,με αυτά τα χέρια μου᾿ βαρύτερα θα το πλερώσει τότε.»,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","Avec mes mains, il le fera plus lourd."
325,"Ως είπε τούτα φοβερίζοντας, τους πρόσταξε να φύγουν,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Comme il a dit ça en faisant peur, il leur a ordonné de partir,"
326,κι αυτοί στο κύμα δίπλα το άκαρπο γιαλό γιαλό τραβούσαν,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]",Et ceux qui étaient sur la vague à côté de l'impétueux Yale tiraient.
327,"αθέλητα τους, ως που στ᾿ άρμενα των Μυρμιδόνων φτάσαν.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",Jusqu'à ce qu'ils arrivent à l'armure des Myrmides.
328,Και τον πέτυχαν στο καράβι του σιμά και στο καλύβι,0.375,0.25,0.25,0.125,"[0.375, 0.25, 0.25, 0.125]",Et ils l'ont attrapé sur son bateau et dans la cabane.
329,"να κάθεται, κι ουδέ το χάρηκε να τους ιδεί μπροστά του.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",Il n'aimait pas non plus les voir devant lui.
330,"Κι εκείνοι εδείλιασαν και ντράπηκαν τον Αχιλλέα, κι αντίκρυ",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]","Et ils laissèrent tomber Achille, et eurent honte de lui."
331,στέκονταν κι ούτε τον χαιρέτιζαν κι ουδέ και τον ρωτούσαν.,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Ils ne le saluaient pas et ne lui demandaient pas.
332,Μ᾿ αυτός τι θέλαν το κατάλαβε και μίλησε τους πρώτος:,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]",Il a compris ce qu'ils voulaient et leur a parlé en premier:
333,"« Καλώς τους κράχτες, τους μαντάτορες του Δία και των ανθρώπων",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]","Bienvenue aux païens, aux mathématiciens de Jupiter et des hommes."
334,"ζυγώστε᾿ εσείς δε φταίτε τίποτα, μονάχα ο γιος του Ατρέα,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Vous n'avez rien à blâmer, juste le fils d'Atrea."
335,πού εδώ σας στέλνει να μου πάρετε την ώρια Βρισοπούλα.,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]",C'est ici qu'il vous envoie me prendre l'heure de Brisdoue.
336,"Πάτροκλε, εμπρός, αρχοντογέννητε, βγάλε και δώσ᾿ την κόρη",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","Patrocle, vas-y, grand-père, sors et donne la fille."
337,να τήνε πάρουν κι οι διαλάληδες μαρτύροι ας είναι ετούτοι,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Qu'ils la prennent, et que les martyrs dévoués soient eux."
338,"μπρος στους τρισμάκαρους αθάνατους, μπρος στους θνητούς ανθρώπους",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","devant les immortels grincheux, devant les humains mortels"
339,"και μπρος στο βασιλιά τον άκαρδο, τη μέρα που θα μ᾿ έχουν",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","et devant le roi sans coeur, le jour où ils m'auront"
340,"τυχόν ανάγκη, πάλε από άδικο χαμό να ξεγλιτώσω",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Si tu as besoin de quelque chose, bats-toi pour m'en sortir."
341,τους άλλους· τι έχει εκείνος μέσα του κατάρα δίχως άλλο,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]",les autres; ce qu'il a en lui une malédiction sans aucun doute
342,"και ξεφρενιάζει, κι ουδέ δύνεται να ιδεί μπροστά και πίσω,",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Et il s'enflamme, et il ne peut voir ni devant, ni derrière,"
343,πώς δίπλα στα καράβια ανέβλαβος θα πολεμά ο στρατός του.»,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Comment son armée se battra à côté des bateaux.
344,"Είπε, κι ο Πάτροκλος του ακράνη του συναγρικάει το λόγο,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Il a dit, et le Patrocle de l'extrême, il s'en prend à la parole,"
345,κι απ᾿ το καλύβι την πανέμνοστη τη Βρισοπούλα βγάζει,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","Et de la cabane, la belle-mère de Brisdone."
346,"και τους τη δίνει· δίπλα στ᾿ άρμενα το δρόμο εκείνοι επήραν,",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]","et il leur donna ce qu'il voulait; à côté des chars, ils prirent le chemin,"
347,κι η κόρη αθέλητα της πήγαινε μαζί τους. Δακρυσμένος,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]",Et sa fille y allait volontairement. Pleuré
348,τότε ο Αχιλλέας απ᾿ τους συντρόφους του μακραίνει και καθίζει,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]",Alors Achille de ses compagnons s'assied et s'assied.
349,"μπρος στον ψαρή γιαλό, το απέραντο το πέλαγο θωρώντας,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","devant le yale de pêche, l'infinie mer, en regardant,"
350,κι απλώνοντας τα χέρια ευκήθηκε στην ακριβή του μάνα:,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]",Et il tendit les mains à sa mère:
351,"« Μάνα μου, τόσο αφού με γέννησες λιγόχρονο, και να 'ταν",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Ma mère, si peu de temps après que tu m'aies mise au monde,"
352,"ο Ολύμπιος Δίας τιμή να μου 'δινεν, ο αψηλοβροντολάλος!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]",Olympius Zeus aurait dû m'en donner l'honneur.
353,Μ᾿ αυτός ουδέ μια στάλα μου 'δειξε τιμή την ώρα ετούτη᾿,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",Il ne m'a pas fait grand-chose.
354,"τι ο πρωταφέντης Αγαμέμνονας, ο μέγας γιος του Ατρέα,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]","le premier maître Agamemnon, le grand fils d'Atrea,"
355,"δε με σεβάστη, μόνο μου άρπαζε το αρχοντομοίρι ατός του.»",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]","Il ne me respectait pas, mais il m'enlevait ses maîtres."
356,"Είπε θρηνώντας, και τον άκουσεν η σεβαστή του η μάνα,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Il a dit en deuil, et sa mère l'a entendu,"
357,"που πλάι στο γέρο κύρη εκάθουνταν, στα βάθη του πελάγου,",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]","près du vieux seigneur qui s'asseyait dans les profondeurs de la mer,"
358,"κι απ᾿ το ψαρί το κύμα επρόβαλε με βιάση, σαν αντάρα,",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]","Et depuis le poisson, la vague s'est précipitée, comme une harpe,"
359,"και στον υιό της που 'κλαιεν έτρεξε και κάθισε μπροστά του,",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]","Et à son fils qui a couru et s'est assis devant lui,"
360,και με το χέρι της τον χάιδεψε κι έτσι μιλάει και κρένει:,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]","Et de sa main, elle l'a caressé, et elle parle et crie:"
361,"« Τι κλαις, παιδί μου; ποιος σου τάραξε καημός τα σπλάχνα τώρα;",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","Qu'est-ce que tu pleures, mon enfant? Qui t'a énervé?"
362,"Μίλα ανοιχτά, κι οι δυο να ξέρουμε, μην το κρατάς κρυμμένο.»",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","Parlez franchement, ne le cachez pas."
363,Βαριά βογγώντας ο φτερόποδος απάντησε Αχιλλέας:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Lourdement criant, l'aile répondit Achille:"
364,"« Τα ξέρεις᾿ τι τα θες τα λόγια μου, μια και τα ξέρεις όλα;",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Tu sais ce que tu veux de mes mots, vu que tu sais tout?"
365,"Στη Θήβα, στου Ηετίωνα πήγαμε την πολιτεία την άγια,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","À Thèbes, aux Anges, nous avons emmené l'État saint,"
366,"κι αφού την πήραμε, τα κούρσα μας εδώ τα φέραμε όλα.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Et une fois qu'on l'a eu, nos courses ici, on a tout apporté."
367,"Κι οι γιοι των Αχαιών, ως ταίριαζε, καθώς τα διαμοίραζαν,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Et les fils des Aïens, comme s'ils les partageaient,"
368,στο γιο του Ατρέα τη ροδομάγουλη χάρισαν Χρυσοπούλα.,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Le fils d'Atrea, la joue aux roses, a reçu un don d'or."
369,"Μα ο Χρύσης, ο ιερέας του Απόλλωνα του μακροσαγιτάρη,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","Mais Pryce, le prêtre d'Apollon,"
370,στων Αχαιών τα πλοία τα γρήγορα των χαλκοθωρακάτων,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]",aux Ahaïs les bateaux rapides des chars de cuivre
371,"με λύτρα αρίφνητα, την κόρη του να λευτερώσει, φτάνει,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]","Avec une rançon, sa fille pour se libérer, ça suffit."
372,του μακροσαγιτάρη Απόλλωνα κρατώντας τα στεφάνια,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","Apollon, l'Apocalypse de l'Apocalypse, tenant les couronnes"
373,"πα στο χρυσό ραβδί, και πρόσπεφτε μπρος στους Αργίτες όλους,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","aller à la baguette d'or, et se présenter devant tous les Argytes,"
374,ξεχωριστά στους δυο πολέμαρχους υγιούς του Ατρέα γυρνώντας.,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]",Séparément aux deux seigneurs de guerre en bonne santé d'Atrea en rentrant.
375,Οι Αργίτες οι άλλοι ευτύς με μια φωνή να σεβαστούν έκραξαν,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]",Les Argytes ont crié d'une seule voix:
376,"το λειτουργό, και τα περίλαμπρα ν᾿ αποδεχτούνε δώρα'",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]",L'assistant et le personnel acceptent des cadeaux.
377,"όμως του Ατρείδη του Αγαμέμνονα δεν άρεσε η βουλή τους,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Mais Atreides d'Agamemnon n'aimait pas leur conseil,"
378,μόν᾿ τον κακόδιωχνε και του 'ριχνε βαριά φοβέρα ακόμα.,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Il ne faisait que le harceler, et il l'effrayait encore."
379,"Όλο θυμό τα πίσω ο γέροντας γυρνάει, κι ο Φοίβος τότε",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Toute la colère du vieil homme est de retour, et Phoebe est de retour."
380,"την προσευκή του ευτύς επάκουσε, τι στην καρδιά τον είχε.",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]","Il a écouté sa prière, ce qu'il avait dans le cœur."
381,"Φαρμακερές σαγίτες έριχνε στους Αχαιούς, κι εκείνοι",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Des sandwichs aux Achaïens, et eux."
382,"πέθαιναν πανωτά, και χύνουνταν οι θεϊκές σαγίτες",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]",Ils mourraient à terre et renversaient les sandwiches divines.
383,απ᾿ άκρη σ᾿ άκρη μες στ᾿ Αργίτικα φαρδιά λημέρια. Τότε,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]","De bout en bout, dans les terres d'Argent. C'est ce que je pensais."
